problemName,Count
Binary Search,222
Rectangle,192
Card Game,188
Remainder,162
Swap,157
Intersection,148
Rotate,142
Caesar Cipher,136
Distance,135
Minimum Spanning Tree,134
Queue,126
Simple Calculator,124
Stack,123
String,121
Priority Queue,120
Search,110
Ring,105
Score,100
Echo 5,99
Echo 4,99
1D Array: Updating Continuous Elements,98
Echo 3,98
1D Array: As a Bucket,98
Conversion of a Line to a Sequence of Numbers,98
Conversion of Lines to Sequences of Numbers,98
2D Array: Reading Elements,98
2D Array: Reading Region Elements,98
2D Array: Update of Elements,98
Repeat N times 1,98
Echo 1,98
Echo 2,98
Branch 2,98
Branch 1,98
Two Variables,98
Reassignment,98
1D Array: As a List,98
Non-equivalence,97
Search Index,97
Equivalence,97
Linear Search for Queries,97
Product,97
Multi-line Input and Reverse Order,97
Comparison 2,97
Evaluation 1,97
1D Array: Updating Elements,97
Nested Loop 1,97
NOT,97
Comparison 1,97
AND,97
Mouse Movement Distance,97
OR,97
Logical Expression 1,97
Logical Expression 2,97
Logical Expression 3,97
Branch 3,97
Branch 4,97
1D Array: Reading Continuous Elements,97
Selection 2,97
Selection 1,97
1D Array: Reading Element,97
Nested Loop 2,96
Expression 3,96
Difference,96
Quotient,96
Character to ASCII Code,96
ASCII Code to Character,96
Expression 1,96
Character Type,96
Characters in String,96
Infinite Loop 2,96
Expression 2,96
Converting a String into a Numerical Value,96
Input a Line,96
Line Input and Reverse Order Output,96
Multi-line Input,96
Structuring 2,96
Structuring 1,96
Repeat N times 2,96
Infinite Loop 1,96
Length of a String,96
Binary Search by Queries,95
Variable,95
Output of Integers with New Lines,95
Multiple Arguments,95
Tenth Power,95
Character,95
Sum,95
Maximum Sum,95
New Line,94
Age Difference,94
Array Argument,94
Hit and Blow,93
Ascending Order?,93
Function,93
Palindrome,92
KUPC,92
Output of Integers,91
Circumscribed Circle of a Triangle,91
Output of a String,91
Array Argument and Procedure,90
Shopping,90
Social Game,90
2D Array: Update of Region Elements,89
Sugoroku,89
Railway Ticket,89
Function Returning an Array,89
Output of an Integer,89
Lunch,88
Contest,88
Word,87
Meeting Place,87
A Popular Ice-cream Shop,87
Ticket Sales,87
Badminton,86
Temperature Difference,86
Swap Elements,85
Bubble Sort,84
Reverse Elements,84
Calculation of Area,84
Who Are The Student Yet To Submit,84
Search Engine,83
Apple and Peach,83
Average Score,83
Third Root,83
3D Array,82
Red Dragonfly,82
The Last One is the Best,82
Change,82
Points for a Perfect Scorer,81
Sort in Ascending Order,81
Look for the Winner!,81
Spreadsheet,80
The Number of Participants,80
Sum of Consecutive Integers,79
Factorial II,79
Osaki,79
Chain Disappearance Puzzle,79
Haunted House,79
"Yes, I have a number",79
Programming Contest,78
Admission Fee,78
Cut the Cake,78
Almost Identical Programs,78
Step Aerobics,78
Celsius and Fahrenheit,77
Fishing Competition,77
Mini Picture Matching Game,77
Day of Week,77
A Pair of Prizes,77
Angle Conversion,77
The Balance of the World,77
Equal Total Scores,77
Greatest Common Divisor,76
A Fat Wallet,76
On-Screen Keyboard,76
Matrix Multiplication,76
How Many Islands?,76
Collatz's Problem,76
Common Divisors,76
Selection of Participants of an Experiment,76
Greatest Common Divisor: Euclidean Algorithm,76
Entrance Examination,75
Chebyshev's Theorem,75
Reservation System,75
Kyudo: A Japanese Art of Archery,75
Curry Making,75
BMI,75
Knapsack Problem,75
Red and Black,74
Cake Party,74
Party Dress,74
Design of a Mansion,74
Selecting Subjects,74
Articulation Points,74
JOI and IOI,74
8 Queens Problem,74
Next Mayor,74
Sum of Integers,73
Treasure Hunt,73
Organize Your Train part II,73
Prime Numbers,73
Ball,73
Amazing Mazes,73
Euler's Phi Function,73
Bridges,73
Cycle Detection for a Directed Graph,73
Income Inequality,73
Flag,73
Misterious Gems,73
Lowest Common Ancestor,73
Longest Common Subsequence,73
Secret Investigation,72
Sunrise and Sunset,72
Secret Number,72
Building a Space Station,72
Convex Hull,72
Change of the Era Name,71
Power,71
Connected Components,71
Strongly Connected Components,71
Short Phrase,71
Single Source Shortest Path,71
Range Sum Query (RSQ),71
Edit Distance (Levenshtein Distance),71
Pollock's conjecture,71
Frog Going Straight,71
Diameter of a Tree,71
Plastic Board,71
Debt Hell,71
Difference of Big Integers,71
Integral,71
Power of Two,70
Prime Number,70
Stop Watch without Tick Mark,70
A-un Breathing,70
The Number of Chairs,70
Exam,70
Shiba Inu,70
All Pairs Shortest Path,70
Switching Railroad Cars,70
Breadth First Search,70
GCD and LCM,70
Triangle Types,70
Daruma Otoshi,70
RMQ and RUQ,69
National Budget,69
Multiplication of Big Integers,69
Princess's Gamble,69
Finding a Word,69
Colorful Disk,69
0-1 Knapsack Problem,69
Treap,69
0-1 Knapsack Problem II,69
Total Time,69
Physical Experiments,69
Minimum Cost Flow,69
Range Minimum Query (RMQ),69
List of Top 3 Hills,69
Circle Cross Stamps,69
Maximum Flow,69
Area of Polygon,69
Heat Strokes,69
Mode Value,69
Maximum Sum Sequence,69
Unique,69
Is it a Right Triangle?,68
Parallel/Orthogonal,68
Cross Point,68
Class,68
ICPC Score Totalizer Software,68
Graph,68
Traveling Salesman Problem,68
Microwave,68
Contact Tracer,68
Millennium,68
Pencils,68
Courtesy Call,68
Simultaneous Equation,68
Naive String Search,68
Range Update Query (RUQ),68
Reflection,68
Princess's Marriage,67
Rooted Trees,67
Train,67
Remainder of Big Integers,67
Snakes,67
Quick Sort,67
Bipartite Matching,67
Balls and Boxes 1,67
Single Source Shortest Path II,67
ASCII Characters,67
Keitai Message,67
Weighted Union Find Trees,67
Sum of 4 Integers,67
Dictionary,66
Differential,66
Exhaustive Search,66
Range Add Query (RAQ),66
String Search,66
Integral Rectangles,66
Circles Intersection,66
Count Up 2020,66
Binary Search Tree I,66
Binary Search Tree II,66
Pablo Squarson's Headache,66
Railway Lines,66
Reverse Sequence,66
What day is today?,66
Toggling Cases,66
Matrix Chain Multiplication,65
Lexicographical Comparison,65
Longitude and Latitude,65
Count,65
Fibonacci Number,65
Dropping Ink,65
Sorting Five Numbers,65
English Sentence,65
Depth First Search,65
Taro's Shopping,65
Drawing Lots,65
Dice I,65
Sugoroku and Pieces,65
How many ways?,65
Counting Vowels,65
Factorial,65
Cube,65
Sorting Pairs,64
Prime Factorize,64
Reverse,64
Division of Big Integers,64
Differential II,64
Blood Groups,64
Equal Range,64
Includes,64
Extended Euclid Algorithm,64
Disjoint Set: Union Find Tree,64
8 Puzzle,64
Grading,64
Next Character,64
Largest Rectangle,64
Merge,64
Matrix Vector Multiplication,64
Balls and Boxes 2,64
Polygon-Point Containment,64
A Point in a Triangle,64
Tunnel,64
Hanafuda Shuffle,64
Change Making,64
Single Source Shortest Path (Negative Edges),63
Print a Chessboard,63
Topological Sort,63
Largest Square,63
A reward for a Carpenter,63
Mode,63
Min-Max Element,63
Height,63
Complete Binary Tree,63
Hour,63
Weight,63
Sports Day,63
Capitalize,63
Handsel,62
Projection,62
Min-Max,62
Enumeration of Subsets I,62
Cup Game,62
Three-Way Comparison,62
The Number of Inversions,62
Ice Cream,62
Least Common Multiple,62
Lower Bound,62
Binary Trees,62
Set Intersection,62
Binary Search Tree III,62
Inversion of a String,62
Heian-Kyo Walking,62
Matrix-like Computation,62
Shuffle,62
Counter-Clockwise,62
Three Integers,61
The Nearest Value,61
Homework,61
QQ,61
Minimum Cost Sort,61
Sliding Minimum Elements,61
Bit Operation I,61
Partition,61
Maximum Heap,61
Counting Characters,61
Permutation Enumeration,61
RSQ and RAQ,61
Areas on the Cross-Section Diagram,61
Set Difference,61
Function Updating an Array,61
Reversing Numbers,60
Standard Deviation,60
Parallelism,60
Digit Number,60
Transformation,60
Tree Walk,60
Hour Hand,60
Function Creating an Array from Arrays,60
Dice II,60
Union of Rectangles,60
Sum of Numbers,60
Moving,60
Baseball Simulation,60
Coin Changing Problem,60
Fractional Knapsack Problem,60
Official House,60
Water Rate,60
Largest Rectangle in a Histogram,60
ICPC Calculator,60
Splice,60
Addition of Big Integers,60
Set Symmetric Difference,60
Set Union,60
Set: Delete,60
Set: Range Search,59
Tax Rate Changed,59
Distance II,59
Recurring Decimals,59
Poker Hand,59
Floor,59
Aizu PR,59
Capitalization,59
Sale Result,59
Single Source Shortest Path I,59
Kannondou,59
Bit Flag,59
Doubly Linked List,59
List,59
Counting Sort,59
A + B Problem,59
Rare Number,58
Merge Sort,58
Dice IV,58
Print a Rectangle,58
Print a Frame,58
20th Anniversary,58
Vector II,58
Goldbach's Conjecture,58
Maximum Profit,58
Sum and Average,58
Complex String,58
Set: Search,58
Selection Sort,57
Roman Figure,57
Triangle,57
Sorting Tuples,57
Dice III,57
"Min, Max and Sum",57
Permutation,57
Deque,57
Finding Missing Cards,57
Three Boxes,57
Map: Delete,57
Bit Operation II,57
Map: Search,56
Skyscraper MinatoHarukas,56
Linear Search vs. Binary Search,56
Number of Comparisons of Linear and Binary Search,56
Numeral System,56
Dirichlet's Theorem on Arithmetic Progressions,56
Structured Programming,56
Boxes and Keys,56
Three-Legged Race,56
The Maximum Number of Customers,56
Longest Increasing Subsequence,56
Square Route,56
Multiplication of Big Integers II,56
Shell Sort,55
Smart Calculator,55
Linear Search,55
Multi-Set,55
Prime Number II,55
Map: Range Search,55
Sort in Descending Order,55
Vector,55
Country Road,55
Molting ,55
Allocation,54
"Origami, or the art of folding paper",54
Scores of Final Examination,54
What is the Bottommost?,54
Yuekis' Audio Room,54
Same Numbers,54
koukyoukoukokukikou,54
School Road,54
Surface Area of Quadrangular Pyramid,54
"Amida, the City of Miracle",54
A Figure on Surface,53
Area,53
Hello World,53
RMQ and RAQ,53
How Many Divisors?,53
Stable Sort,53
Circle,53
Aka-beko and 40 Thieves,53
"Small, Large, or Equal",52
Range,52
Sorting Status,52
Balls and Boxes 5,52
A / B Problem,52
Book Index,52
Longest Ascending Contiguous Subsequence,52
Trunk Road,52
The Smallest Window I,52
Insertion Sort,52
Reconstruction of a Tree,52
Cup,52
Sequence,51
Sorting Three Numbers,51
Watch,51
Circle in a Rectangle,51
Receipt,51
Laver,51
Moving Balls,51
Time Card,51
Run Length,51
Balls and Boxes 4,51
Kagisys,51
Huffman Coding,51
Koto Municipal Subway,51
Enumeration of Subsets II,50
Cheese,50
Counting Peaks of Infection,50
Magical Tiles,50
Activity Selection Problem,50
Print Test Cases,49
Space Coconut Grab,49
Heap Sort,49
Data Conversion,49
Two-digit Integer,49
ICPC Ranking,49
Cross Points of Circles,49
The Number of Area,49
Twins,49
Alphametic,48
Balls and Boxes 3,48
X Cubic,48
Bit Mask,48
Triangle of Blocks,48
Enumeration of Combinations,47
Multi-Map,47
Repeating String,47
Make Purse Light,47
November,47
Print Many Hello World,47
Tennis,47
A Garden with Ponds,47
Balls and Boxes 6,47
Balls and Boxes 8,46
Swapping Two Numbers,46
Luck Manipulator,46
Delivery to a Luxurious House,46
Coin Combination Problem II,46
Dial Lock,46
Balls and Boxes 11,45
Tile,45
What is the Most Popular Shop in Tokaichi?,45
Sum of Prime Numbers,45
Balls and Boxes 9,44
The Second Largest Integer,44
Monday-Saturday Prime Factors,44
Point Card,44
Cross Points of a Circle and a Line,44
A Thief,44
Unique number,44
Christmas Party,43
Enumeration of Subsets III,43
Knapsack Problem with Limitations,43
Is-Convex,43
Is it Convex?,43
Temperature Measurement,43
Carry a Cheese,43
Generalized Leap Years,43
Sum of Nth decimal places,42
The Number of Windows,42
15 Puzzle,42
Nisshinkan Marathon Club,42
Balls and Boxes 7,42
Japanese Calendar,42
New Town,41
Dice,40
Coin Combination Problem,40
Rank Checker,40
Swapping Bibs,40
Marbles Tell Your Lucky Number,39
JOI Sort,39
The Third Permutation,39
Team Making,39
Prime Number Sum 2,39
Vote,39
Huge Knapsack Problem,39
A Milk Shop,39
Leap Year,39
Operation of Frequency of Appearance,39
The Maximum Number of Overlaps,39
Cutting Down Water Bills,39
Equal Split,39
Shopping Street,39
Lining up the cards,38
Balls and Boxes 10,38
A Way to Invite Friends,38
Homecoming,38
All Numbers Lead to 6174,38
Optimal Binary Search Tree,38
Videotape,38
Kakezan,38
Property Distribution ,37
Strange Mathematical Expression,37
Airport Codes,37
Height of a Tree,37
Tic Tac Toe,37
The Smallest Window II,37
Time to Study,36
Save Your Privacy!,36
Production,36
Calculation,36
Dividing Students,36
The Number of Island,36
Wire,36
Cave for Cats,36
Soccer,35
Balls and Boxes 12,35
King's Inspection,35
Trading,35
JAG Practice Contest,35
Common Elements,35
Shuffle The Cards,35
VOCAL ANDROID,34
Hierarchical Democracy,34
5e16,34
Distribution of Candy,34
Surf Smelt Fishing Contest,34
Walking in the Hospital,34
When Can We Meet?,34
Eye Test,34
Cards,34
Illumination,34
Frequency Distribution of Height,34
Orthogonal,34
Times Square,33
Pancake,33
Affine Cipher,33
Moonlight Farm,33
Era Name Transformation,32
Hakone,32
JOI Editor,32
Day Count,32
Refreshment Area,32
Square,31
Marathon Race,31
Candy and Class Flag,31
Magic Square,31
Puzzle,31
RSQ and RUQ,30
Room Numbers of a Hospital,30
Dudeney Number,30
CamelCase,30
Split,30
IOI String,30
Earth Invasion Diary of Miyabi-sensei,30
A First Grader,30
Analyzing Login/Logout Records,30
Jinkoki,30
Sum of 4 Integers II,29
Canceling Sequence,29
Differential Pulse Code Modulation,29
Calorie Counting,29
Geometric Data,29
A Symmetric Point,29
Weather Forecaster,29
Joseph's Potato,29
FizzBuzz,29
Comparison,29
Bitaro and IOI,29
Poster,29
Matsuzaki Number,28
nm Calculations,28
Discounts of Buckwheat ,28
Treasure Hunt II,28
Coastline,28
Minimum-Cost Arborescence,28
Balance Scale,28
Closest Pair,28
Planetary Exploration,28
Oranges on Cans,28
Russian Flag,28
Interest Rates,27
Bombs Chain,27
Expression,27
jfen,27
Judge the Target,27
Multiple String Matching,27
Cuboid Made with Bars,27
Segment Intersections: Manhattan Geometry,27
Diameter of a Convex Polygon,27
Speed Skating Badge Test,27
Intersection of Rectangles,26
Baseball Championship,26
Range Query on a Tree,26
Quality Checking,26
Middle-Square Method,26
Darts,26
Vampire,26
Register Phase,26
Rotating Photo,26
How can I satisfy thee? Let me count the ways...,26
Pattern Search,26
Best Pizza,26
Losing is Winning,26
Super Metropolis,25
Sport Meet,25
How many times did you say NAN?,25
Paken,25
Get Many Persimmon Trees,25
Twin Prime,25
Electro-Fly,25
Strawberry,24
Prime Gap,24
Tournament,24
League Match Score Sheet,24
Unique Nickname,24
Fast Division,24
Party,24
Beads,24
ai1333,24
Track and Field Competition,24
Exit Survey,23
Quaternary Notation,23
Which Team Should Receive the Sponsor Prize?,23
RTA,23
Bange Hills Tower,23
Ancestor of Bacteria,23
The Outcome of Bonze,23
Next Trip,23
"Rock, Paper, Scissors",23
Saizo,23
Area of Polygons,23
Campus to Campus,23
Last Letter,23
Maximization of Rational Expression,22
Surrounding Area,22
Patrol,22
Blackjack,22
Period,22
Doctor's Memorable Codes,22
Silk Road,22
Questionnaire,22
Flying Jenny,22
Convenient Location,22
The Code A Doctor Loved,22
Tsuruga Castle,22
You Are the Judge,22
Pizza,22
Baton Relay Game,22
What Color?,22
A Traveler,22
Delivery Fee,22
Quaternion Multiplication,22
Range Search (kD Tree),22
Konpeito,21
Input Candidates,21
Convex Cut,21
Proof of Knowledge,21
Electronic Metronome,21
Chains of Explosions ,21
Japan Sinks,21
IOIOI,21
Koto Distance,21
Polygonal Line Search,21
The Price of a Cake,21
Miscalculation,21
Path on a Grid,21
Sum of Consecutive prime Numbers,21
Never Wait for Weights,21
Decimal Sequences,21
Tea Party,20
Trampoline,20
Equal Sum Sets,20
Clock,20
Group,20
Broken Cipher Generator,20
Longest Match,20
Mosquito coil,20
Table Tennis,20
Bus Timetable,20
Thanksgiving,20
Namo.. Cut,20
Surmise,20
Four Tea,20
Bookshelf,19
Playoff by all the teams,19
Yamanote Line,19
Gag,19
Flip Difference Sequence,19
Seven Puzzle,19
Guriko on Line,19
Incircle of a Triangle,19
Tangent to a Circle,19
Ninja E869120,19
Pray,19
Digit Sum,19
Unreliable Message,19
Curling 2.0,19
Bamboo Blossoms,19
Hot days,19
Symmetric Nbase Number,19
Pasta,18
Salary for a Plumber,18
Available Areas,18
Calling Extraterrestrial Intelligence Again,18
"Run, Twins",18
Rearranging a Sequence,18
Training,18
Strange Plants,18
Symmetric Ternary Number,18
Pocket Pager Input,18
Brave Force Story,18
Gas Station,18
Quiz,18
Hundred-Cell Calculation Puzzles,18
?UPC ,18
Today's Random Number,18
Surf Smelt Fishing Contest II,18
Cleaning Robot,18
The Secret Number,18
Clock Short Hand and Long Hand,18
Guaranteed Minimum Price,18
Era Name,18
Longest Steps,18
Kitchen Garden,17
Membership Management,17
Cubist Artwork,17
Searching Constellation,17
Rounding Division,17
Bitaro the Brave,17
Secret of Chocolate Poles,17
Teaching Assistant,17
Rummy,17
And Then There Was One,17
Gather the Maps!,17
Big Hit !,17
Signboard,17
Seven Segments,17
Connecting ,17
Books,17
Slot,17
Chinese Postman Problem,17
Ohajiki Game,17
Grid,17
Let's Solve Geometric Problems,17
The Best Body,17
The Shortest Path on A Rhombic Path,17
Al dente,17
Hamming Numbers,17
Formation,17
Binary Digit A Doctor Loved,16
Minimal Backgammon,16
Amidakuji,16
Mercy,16
Typhoon,16
Bus Line,16
Split Time,16
Demolition of Bridges,16
OOllOll,16
Pilling Blocks,16
Working,16
Boat Travel,16
A Round Table for Sages,16
Scroll,16
Rotation of a Pattern,16
Eleven Lover,16
Enclose Pins with a Rubber Band,16
Library 2,16
Selecting Teams Advanced to Regional,16
Triangle Addition,16
Summer of Pyonkichi,16
Bozo Sort,16
Final Examination!,15
Abacus ,15
Sufficient Condition,15
Grey Area,15
Dinner,15
Cuboid,15
Sequence of Absolute Differences,15
Making Lunch Boxes,15
Pair of Primes,15
Schedule,15
Starting Line,15
ABC Gene,15
Wrought Gold Master,15
Tanuki and Fox,15
Circle and Points,15
Traveling by Stagecoach,15
Check answers,15
Doubling,15
Auction,15
Commute routes,15
Digits Are Not Just Characters,15
Grouping,14
Parentheses,14
Modular Query,14
Fitness,14
Ginkgo Numbers,14
Leave No One Behind,14
Marked Ancestor,14
Mod Reap,14
Abyss and Coins,14
North North West,14
Worst Reporter,14
Star in Parentheses,14
The Mean of Angles,14
Paint Color,14
Biased Dice,14
Boiling Pasta,14
Lottery,14
Ohgas' Fortune,14
Twirling Robot,14
Dangerous Bridge,14
Bowling,14
Tetra Hedron,14
Carden Lantern,13
Divide and Conquer,13
Arithmetic and Geometric Germ,13
Prime Quadruplet,13
Taro's Obsession,13
Vampirish Night,13
Related Products,13
Irreducible Fractionalization,13
Digital Clock,13
Don't Rotate the Dice!,13
Successive Tree,13
Manhattan,13
Block,13
Bitonic Traveling Salesman Problem,13
Molecular Formula,13
Crossing Black Ice,13
Painting,13
Folding a Ribbon,13
Traffic Tree,13
Weight Range,13
Rooted Tree for Misawa-san,13
Cheat at Dices,13
Spider Jin,13
Jail,13
Mixed Spice I,12
Railroad II,12
Calculation Training,12
Treasure Map,12
LiChaoSegmentTree,12
Unclouded Sky,12
Serial Number,12
Invest Master,12
Unordered Operators,12
Distance Between Two Cities,12
Cumulative Difference,12
(iwi),12
Summer of KMC,12
Combination of Number Sequences,12
Setting Go Stones,12
Common Tangent,12
Skewering,12
Is Greedy Optimal?,12
CatChecker,12
Sort Riddles,12
Sorting Crayons,12
Fast Forwarding,12
Jogging,12
Cheating on ICPC,12
Information Search,12
Floppy Cube,11
WeightedLIS,11
Aizu Chicken,11
Special Chat,11
Black-and-White,11
Piano Competition,11
Array Game,11
Desert Oasis,11
Gossip,11
Square Searching,11
Playing With Stones,11
My friends are small,11
Cliff Climbing,11
Water Pipe Construction,11
Lightest Mobile,11
Sum of Cards,11
Starship Hakodate-maru,11
Nearest Two Points,11
XOR in base P,11
Osenbei,11
String Set,11
Emacs-like Editor,11
X-Ray Screening System,11
Goldbach's Conjecture II,11
Perfect Number,11
Pigeonhole principle,11
Best Matched Pair,11
Food Delivery,11
Delicious Tapioca,11
Drawing Lots II,11
Hokkaido University Easy,11
Infected Computer,11
Doping Slayer,11
Hokkaido University Hard,11
Round Sugoroku,11
Kongo Type,11
Minus One,11
Metal Recycling,10
Highway Toll,10
Identically Colored Panels Connection,10
Sum of Integers II,10
House Moving,10
Trouble in Shinagawa's Artifacts,10
Set,10
Petting Cats,10
Finding Num,10
Prime Caves,10
Mixed Spice II,10
Stove,10
Test,10
Extreme Balance,10
Separate Number,10
Tree Happiness,10
Kobutanukitsuneko,10
Magical Matrix,10
Dessert Witch,10
Window,10
Meet on the Island,10
Star Gazer,10
Range Query on a Tree II,10
Not Found,10
Classifier,10
Finger Counting,10
Reachable,10
GCDMST,10
Bingo,10
Milk,10
Bridge Removal,10
I Hate Long Problem,10
Restore Shortest Path,10
Traveling Alone: One-way Ticket of Youth,10
Repeated Spell,10
Card Game is Fun,10
Spiral Pattern,10
Knapsack Problem with Limitations II,10
Walk,10
Infinite Express,10
sticky notes,10
Sightseeing Tour,9
GPA JANKEN,9
Estimating the Flood Risk,9
Mod Rush,9
GCD swap,9
Deforestation,9
Save your cats,9
Tokyo-Bay,9
Farey Sequence,9
Restore Calculation,9
Belt Conveyor Maze,9
Numbers,9
Zombie Island,9
The Number of the Real Roots of a Cubic Equation,9
Beko Ranger Card,9
Number Similar to 2023,9
Discrete Speed,9
Area of Intersection between Two Circles,9
Many Points,9
Ridge,9
Mayan Crucial Prediction,9
GuruGuru,9
Old Bridges,9
Mysterious Worm,9
Illumination 2,9
Shortest Crypt,9
Classification of Clothing,9
Chain,9
Overlaps of Seals,9
Extended Caesar Cipher,9
JJOOII,9
